Section,G_kg_m,h_mm,b_mm,tw_mm,tf_mm,A_cm2,Iy_cm4,Wely_cm3,Wply_cm3,iy_cm,Avz_cm2
HE700B,241.0,700.0,300.0,17.0,32.0,306.4,256900.0,7339.7,8327.0,29.0,137.1
HE700M,301.0,716.0,304.0,21.0,40.0,383.0,329300.0,9197.7,10540.0,29.3,169.8
HE800A,224.0,790.0,300.0,15.0,28.0,285.8,303400.0,7682.1,8699.0,32.6,138.8
HE800B,262.0,800.0,300.0,17.5,33.0,334.2,359100.0,8977.1,10230.0,32.8,161.8
HE800M,317.0,814.0,303.0,21.0,40.0,404.3,442600.0,10870.0,12490.0,33.1,194.3
HE900A,252.0,890.0,300.0,16.0,30.0,320.5,422100.0,9484.8,10810.0,36.3,163.3
HE900B,291.0,900.0,300.0,18.5,35.0,371.3,494100.0,10980.0,12580.0,36.5,188.8
HE900M,333.0,910.0,302.0,21.0,40.0,423.6,570400.0,12540.0,14440.0,36.7,214.4
HE1000A,272.0,990.0,300.0,16.5,31.0,346.8,553800.0,11190.0,12820.0,40.0,184.6
HE1000B,314.0,1000.0,300.0,19.0,36.0,400.0,644700.0,12890.0,14860.0,40.2,212.5
HE1000M,349.0,1008.0,302.0,21.0,40.0,444.2,722300.0,14330.0,16570.0,40.3,235.0
IPE120,10.4,120.0,64.0,4.4,6.3,13.2,317.8,53.0,60.7,4.9,6.3
IPE140,12.9,140.0,73.0,4.7,6.9,16.4,541.2,77.3,88.3,5.7,7.6
IPE160,15.8,160.0,82.0,5.0,7.4,20.1,869.3,108.7,123.9,6.6,9.7
IPE180,18.8,180.0,91.0,5.3,8.0,23.9,1317.0,146.3,166.4,7.4,11.3
IPE200,22.4,200.0,100.0,5.6,8.5,28.5,1943.0,194.3,220.6,8.3,14.0
IPE220,26.2,220.0,110.0,5.9,9.2,33.4,2772.0,252.0,285.4,9.1,15.9
IPE240,30.7,240.0,120.0,6.2,9.8,39.1,3892.0,324.3,366.6,10.0,19.1
IPE270,36.1,270.0,135.0,6.6,10.2,45.9,5790.0,428.9,484.0,11.2,22.1
IPE300,42.2,300.0,150.0,7.1,10.7,53.8,8356.0,557.1,628.4,12.5,25.7
IPE330,49.1,330.0,160.0,7.5,11.5,62.6,11770.0,713.1,804.3,13.7,30.8
IPE360,57.1,360.0,170.0,8.0,12.7,72.7,16270.0,903.6,1019.0,15.0,35.1
IPE400,66.3,400.0,180.0,8.6,13.5,84.5,23130.0,1160.0,1307.0,16.6,42.7
IPE450,77.6,450.0,190.0,9.4,14.6,98.8,33740.0,1500.0,1702.0,18.5,50.9
IPE500,90.7,500.0,200.0,10.2,16.0,116.0,48200.0,1930.0,2194.0,20.4,59.9
IPE550,106.0,550.0,210.0,11.1,17.2,134.0,67120.0,2440.0,2787.0,22.4,72.3
IPE600,122.0,600.0,220.0,12.0,19.0,156.0,92080.0,3070.0,3512.0,24.3,83.8
